x,y,Umag,Vorticity_z
8.100000381,-6.675000191,1.052455658,-0.001144166221
8.175000191,-6.675000191,1.053122777,-0.001129260869
8.25,-6.675000191,1.053793415,-0.001113883685
8.324999809,-6.675000191,1.054464054,-0.001098506502
8.399999619,-6.675000191,1.055126114,-0.001082079136
8.475000381,-6.675000191,1.055787076,-0.001065515913
8.550000191,-6.675000191,1.056446624,-0.001048911014
8.625,-6.675000191,1.057075863,-0.001031402382
8.699999809,-6.675000191,1.057705101,-0.001013893634
8.774999619,-6.675000191,1.058326077,-0.0009963267948
8.850000381,-6.675000191,1.058900602,-0.0009784331778
8.925000191,-6.675000191,1.059475119,-0.0009605397936
9,-6.675000191,1.06003365,-0.0009427021141
9.074999809,-6.675000191,1.060530144,-0.0009250806761
9.149999619,-6.675000191,1.061026638,-0.0009074591799
9.225000381,-6.675000191,1.061502523,-0.0008899989189
9.300000191,-6.675000191,1.061898441,-0.0008731649723
9.375,-6.675000191,1.062294358,-0.0008563310839
9.449999809,-6.675000191,1.062672011,-0.000839691842
9.524999619,-6.675000191,1.062946356,-0.0008241539472
9.600000381,-6.675000191,1.063220706,-0.0008086158196
